Navn;Url;Brudd;KravTotalt;SistOppdatert;Opprettet;Statuskode;Feil;SistSjekket;WCAGCodes
skatteetaten.no;https://uustatus.no/nb/erklaringer/publisert/0193e69a-7038-4809-9859-e71ddc747071;11;48;2024-12-10;2023-01-05;200;;2025-09-24T15:36:39.617356+00:00;1.1.1|1.2.1|1.3.1|1.3.5|1.4.11|1.4.3|2.4.1|3.1.2|3.3.1|4.1.2|4.1.3
Tips oss;https://uustatus.no/nb/erklaringer/publisert/461f43ab-f826-46b5-a664-8caea74d7e0c;1;48;2025-01-23;2023-01-20;200;;2025-09-24T15:36:40.762156+00:00;1.4.10
Tabelltrekk;https://uustatus.no/nb/erklaringer/publisert/39f00367-5950-4917-8521-6c2faf74f784;;;2025-03-07;2023-01-11;200;;2025-09-24T15:36:41.900373+00:00;
Skatteetaten designsystem - Github;https://uustatus.no/nb/erklaringer/publisert/90be03a3-13e4-4979-8c88-f38727fb77e0;1;48;2025-01-30;2023-01-12;200;;2025-09-24T15:36:43.042549+00:00;3.1.2
Beregn skatt;https://uustatus.no/nb/erklaringer/publisert/47f7a6da-c7f3-4f1f-a5ae-ce4eee7c4c8a;9;48;2025-07-03;2024-11-12;200;;2025-09-24T15:36:44.188935+00:00;1.3.1|1.4.10|2.4.3|2.4.7|3.1.2|3.3.1|3.3.2|4.1.2|4.1.3
Beregn skatten din for 2023;https://uustatus.no/nb/erklaringer/publisert/8174d150-d11c-4685-a6a1-12024c7bf2ba;;;2025-04-30;2023-01-12;200;;2025-09-24T15:36:45.335920+00:00;
